MSSV,Brand,Count
22521559,Suzuki,50.5
22521559,Toyota,119.0
22521559,VinFast,41.0
22520914,Honda,51.0
22520914,Hyundai,54.0
22520914,KIA,55.0
22520914,Mazda,27.5
22520914,Mitsubishi,23.0
22520914,Suzuki,61.0
22520914,Toyota,58.5
22520914,VinFast,25.0
22520915,Honda,52.0
22520915,Hyundai,54.0
22520915,KIA,55.0
22520915,Mazda,27.5
22520915,Mitsubishi,23.0
22520915,Suzuki,61.0
22520915,Toyota,58.5
22520915,VinFast,25.0
21522500,Honda,80.5
21522500,Hyundai,100.0
21522500,KIA,17.5
21522500,Mazda,18.0
21522500,Mitsubishi,24.0
21522500,Others,100.0
21522500,Suzuki,83.5
21522500,Toyota,84.0
21522771,Honda,80.5
21522771,Hyundai,100.0
21522771,KIA,17.5
21522771,Mazda,18.0
21522771,Mitsubishi,24.0
21522771,Others,100.0
21522771,Suzuki,83.5
21522771,Toyota,84.0
22521027,Honda,333.33
22521027,Hyundai,370.33
22521027,KIA,356.33
22521027,Mazda,341.0
22521027,Mitsubishi,333.33
22521027,Others,348.67
22521027,Suzuki,769.0
22521027,Toyota,739.33
22521027,VinFast,398.33
22520195,Honda,333.33
22520195,Hyundai,370.33
22520195,KIA,356.33
22520195,Mazda,341.0
22520195,Mitsubishi,333.33
22520195,Others,348.67
22520195,Suzuki,769.0
22520195,Toyota,739.33
22520195,VinFast,398.33
22521060,Honda,333.33
22521060,Hyundai,370.33
22521060,KIA,356.33
22521060,Mazda,341.0
22521060,Mitsubishi,333.33
22521060,Others,348.67
22521060,Suzuki,769.0
22521060,Toyota,739.33
22521060,VinFast,398.33
22521692,Honda,91.5
22521692,KIA,87.0
22521692,Mazda,90.0
22521692,Mitsubishi,63.0
22521692,Others,48.5
22521692,Suzuki,95.0
22521692,Toyota,91.0
22521692,VinFast,54.0
22521676,Honda,91.5
22521676,KIA,87.0
22521676,Mazda,90.0
22521676,Mitsubishi,63.0
22521676,Others,48.5
22521676,Suzuki,95.0
22521676,Toyota,91.0
22521676,VinFast,54.0
22520477,Honda,18.5
22520477,Hyundai,58.0
22520477,KIA,47.0
22520477,Mazda,11.0
22520477,Mitsubishi,10.5
22520477,Others,28.0
22520477,Suzuki,10.5
22520477,Toyota,49.5
22520477,VinFast,57.5
22520490,Honda,18.5
22520490,Hyundai,58.0
22520490,KIA,47.0
22520490,Mazda,11.0
22520490,Mitsubishi,10.5
22520490,Others,28.0
22520490,Suzuki,10.5
22520490,Toyota,49.5
22520490,VinFast,57.5
21522373,Honda,26.0
21522373,Hyundai,35.5
21522373,KIA,30.5
21522373,Mazda,35.5
21522373,Mitsubishi,22.5
21522373,Volvo,29.5
21522373,LandRover,33.0
21522373,Mercedes,25.5
21522373,Nissan,21.0
21522373,Suzuki,33.0
21522373,Toyota,33.0
21522373,VinFast,25.0
21522499,Honda,26.0
21522499,Hyundai,35.5
21522499,KIA,30.5
21522499,Mazda,35.5
21522499,Mitsubishi,22.5
21522499,Volvo,29.5
21522499,LandRover,33.0
21522499,Mercedes,26.0
21522499,Nissan,21.0
21522499,Suzuki,33.0
21522499,Toyota,33.0
21522499,VinFast,25.0
22521560,Honda,24.0
22521560,Hyundai,25.0
22521560,KIA,23.0
22521560,Mazda,27.5
22521560,Mitsubishi,22.0
22521560,Others,18.0
22521560,Suzuki,26.5
22521560,Toyota,52.0
22521560,VinFast,31.5
22521614,Honda,24.0
22521614,Hyundai,25.0
22521614,KIA,23.0
22521614,Mazda,27.5
22521614,Mitsubishi,22.0
22521614,Others,18.0
22521614,Suzuki,26.5
22521614,Toyota,52.0
22521614,VinFast,31.5
22520348,Honda,23.33
22520348,Hyundai,16.67
22520348,KIA,16.67
22520348,Mazda,16.67
22520348,Mitsubishi,16.67
22520348,Others,10.0
22520348,Ford,1.67
22520348,LandRover,1.67
22520348,Tesla,1.67
22520348,Volvo,1.67
22520348,Maybach,0.33
22520348,Suzuki,16.67
22520348,Toyota,16.67
22520348,VinFast,16.33
22520530,Honda,23.33
22520530,Hyundai,16.67
22520530,KIA,16.67
22520530,Mazda,16.67
22520530,Mitsubishi,16.67
22520530,Others,10.0
22520530,Ford,1.67
22520530,LandRover,1.67
22520530,Tesla,1.67
22520530,Volvo,1.67
22520530,Maybach,0.33
22520530,Suzuki,16.67
22520530,Toyota,16.67
22520530,VinFast,16.33
22520837,Honda,23.33
22520837,Hyundai,16.67
22520837,KIA,16.67
22520837,Mazda,16.67
22520837,Mitsubishi,16.67
22520837,Others,10.0
22520837,Ford,1.67
22520837,LandRover,1.67
22520837,Tesla,1.67
22520837,Volvo,1.67
22520837,Maybach,0.33
22520837,Suzuki,16.67
22520837,Toyota,16.67
22520837,VinFast,16.33
22521463,Honda,5.0
22521463,Hyundai,5.0
22521463,KIA,5.0
22521463,Mazda,20.0
22521463,Mitsubishi,25.33
22521463,Others,39.33
22521463,Suzuki,5.0
22521463,Toyota,5.0
22521463,VinFast,5.0
22521213,Honda,5.0
22521213,Hyundai,5.0
22521213,KIA,5.0
22521213,Mazda,20.0
22521213,Mitsubishi,25.33
22521213,Others,39.33
22521213,Suzuki,5.0
22521213,Toyota,5.0
22521213,VinFast,5.0
22521259,Honda,5.0
22521259,Hyundai,5.0
22521259,KIA,5.0
22521259,Mazda,20.0
22521259,Mitsubishi,25.33
22521259,Others,39.33
22521259,Suzuki,5.0
22521259,Toyota,5.0
22521259,VinFast,5.0
22520223,Honda,10.0
22520223,Hyundai,10.0
22520223,KIA,9.5
22520223,Mazda,10.0
22520223,Mitsubishi,10.0
22520223,Peugeot,5.0
22520223,Volvo,10.0
22520223,Volkswagen,5.0
22520223,LandRover,5.0
22520223,Nissan,5.0
22520223,Mercedes,5.0
22520223,Suzuki,10.0
22520223,Toyota,10.0
22520223,VinFast,10.0
22520213,Honda,10.0
22520213,Hyundai,10.0
22520213,KIA,9.5
22520213,Mazda,10.0
22520213,Mitsubishi,10.0
22520213,Peugeot,5.0
22520213,Volvo,10.0
22520213,Volkswagen,5.0
22520213,LandRover,5.0
22520213,Nissan,5.0
22520213,Mercedes,5.0
22520213,Suzuki,10.0
22520213,Toyota,10.0
22520213,VinFast,10.0
22520550,Honda,12.5
22520550,Hyundai,15.0
22520550,KIA,9.5
22520550,Mazda,10.0
22520550,Mitsubishi,7.0
22520550,Suzuki,13.0
22520550,Toyota,15.0
22520550,VinFast,20.0
22520967,Honda,12.5
22520967,Hyundai,15.0
22520967,KIA,9.5
22520967,Mazda,10.0
22520967,Mitsubishi,7.0
22520967,Suzuki,13.0
22520967,Toyota,15.0
22520967,VinFast,20.0
2252014,Honda,1.0
22521342,Honda,130.5
22521342,Hyundai,60.0
22521342,KIA,111.5
22521342,Mazda,98.0
22521342,Mitsubishi,131.5
22521342,Others,28.5
22521342,Suzuki,139.0
22521342,Toyota,183.0
22521342,VinFast,117.5
22520970,Honda,130.5
22520970,Hyundai,60.0
22520970,KIA,111.5
22520970,Mazda,98.0
22520970,Mitsubishi,131.5
22520970,Others,28.5
22520970,Suzuki,139.0
22520970,Toyota,183.0
22520970,VinFast,117.5
20520918,Honda,40.0
20520918,Huyndai,40.0
20520918,KIA,40.0
20520918,Mitsubishi,40.0
20520918,Suzuki,40.0
20520918,Toyota,40.0
22521465,Honda,21.67
22521465,Hyundai,5.0
22521465,Kia,4.0
22521465,Mazda,17.67
22521465,Misubishi,4.0
22521465,Mitsubishi,10.33
22521465,Suzuki,5.33
22521465,Toyota,5.0
22521465,VinFast,15.0
22520811,Honda,21.67
22520811,Hyundai,5.0
22520811,Kia,4.0
22520811,Mazda,17.67
22520811,Misubishi,4.0
22520811,Mitsubishi,10.33
22520811,Suzuki,5.33
22520811,Toyota,5.0
22520811,VinFast,15.0
22520683,Honda,21.67
22520683,Hyundai,5.0
22520683,Kia,4.0
22520683,Mazda,17.67
22520683,Misubishi,4.0
22520683,Mitsubishi,10.33
22520683,Suzuki,5.33
22520683,Toyota,5.0
22520683,VinFast,15.0
22520459,Honda,45.67
22520459,Hyundai,56.67
22520459,KIA,46.33
22520459,Mazda,23.33
22520459,Mitsubishi,31.0
22520459,Others,39.0
22520459,Suzuki,800.0
22520459,Toyota,191.33
22520459,VinFast,26.33
22520507,Honda,45.67
22520507,Hyundai,56.67
22520507,KIA,46.33
22520507,Mazda,23.33
22520507,Mitsubishi,31.0
22520507,Others,39.0
22520507,Suzuki,800.0
22520507,Toyota,191.33
22520507,VinFast,26.33
22520862,Honda,45.67
22520862,Hyundai,56.67
22520862,KIA,46.33
22520862,Mazda,23.33
22520862,Mitsubishi,31.0
22520862,Others,39.0
22520862,Suzuki,800.0
22520862,Toyota,191.33
22520862,VinFast,26.33
22520521,Honda,12.5
22520521,Hyundai,11.5
22520521,KIA,12.0
22520521,Mazda,12.0
22520521,Mitsubishi,12.0
22520521,Others,49.0
22520521,Nissan,0.5
22520521,Suzuki,12.0
22520521,Toyota,12.0
22520521,VinFast,12.0
22520884,Honda,12.5
22520884,Hyundai,11.5
22520884,KIA,12.0
22520884,Mazda,12.0
22520884,Mitsubishi,12.0
22520884,Others,49.0
22520884,Nissan,0.5
22520884,Suzuki,12.0
22520884,Toyota,12.0
22520884,VinFast,12.0
21520930,Huyndai,50.0
21520930,KIA,50.0
21520930,Mazda,49.5
21520930,Mitsubishi,50.0
21520930,Suzuki,49.0
21520930,Toyota,50.0
21520930,VinFast,49.5
21522924,Huyndai,150.0
21522924,KIA,150.0
21522924,Mazda,148.5
21522924,Mitsubishi,150.0
21522924,Suzuki,147.0
21522924,Toyota,150.0
21522924,VinFast,148.5
21520938,Hyundai,135.5
21520938,Toyota,387.5
22520634,Hyundai,135.5
22520634,Toyota,387.5
215223773,Mercedes,0.5
22520581,Toyota,100.0
